Table of variables,,,,
Section 1: MRI scan date data,,,,
,Variable name,Short descriptor,Data type,Data source
1,NACCDICO,DICOM image file available (y / n),Numeric longitudinal,NACC derived
2,NACCNIFT,NIfTI image file available (y/n),Numeric longitudinal,NACC derived
3,MRIMO,Month MRI performed,Numeric longitudinal,MRI DICOM header
4,MRIDY,Day MRI performed,Numeric longitudinal,MRI DICOM header
5,MRIYR,Year MRI performed,Numeric longitudinal,MRI DICOM header
6,NACCMRIA,Subject age at time of MRI,Numeric longitudinal,NACC derived
7,NACCMRFI,File locator variable,Character longitudinal,NACC derived
8,NACCNMRI,Total number of MRI sessions,Numeric cross-sectional,NACC derived
9,NACCMNUM,MRI session in chronological order,Numeric longitudinal,NACC derived
10,NACCMRDY,"Days between MRI session and closest
UDS visit",Numeric longitudinal,NACC derived
11,NACCMRSA,At least one MRI scan available,Numeric longitudinal,NACC derived
Section 2: MRI scan type and series-associated data,,,,
,Variable name,Short descriptor,Data type,Data source
11,MRIT1,MRI sequence type — T1,Numeric longitudinal,MRI DICOM header
12,MRIT2,MRI sequence type — T2,Numeric longitudinal,MRI DICOM header
13,MRIDTI,MRI sequence type — DTI,Numeric longitudinal,MRI DICOM header
14,MRIDWI,MRI sequence type — DWI,Numeric longitudinal,MRI DICOM header
15,MRIFLAIR,MRI sequence type — FLAIR,Numeric longitudinal,MRI DICOM header
16,MRIOTHER,MRI sequence type — other,Numeric longitudinal,MRI DICOM header
17,MRIFIELD,Magnetic field strength (T),Numeric longitudinal,MRI DICOM header
18,MRIMANU,Manufacturer,Numeric longitudinal,MRI DICOM header
19,MRIMODL,Manufacturer’s model name,Numeric longitudinal,MRI DICOM header
Researchers Data Dictionary — Imaging Data Page 3,,,,
,,,,
Section 3: MRI calculated summary data,,,,
Section 3a. Gross brain volumes,,,,
,Variable name,Short descriptor,Data type,Data source
20,NACCMVOL,Calculated summary data available (y / n),Numeric longitudinal,NACC derived
21,NACCICV,Total intracranial volume (cc),Numeric longitudinal,NACC derived
22,NACCWMVL,Total white matter volume (cc),Numeric longitudinal,NACC derived
23,NACCBRNV,Total brain volume (cc),Numeric longitudinal,NACC derived
24,CSFVOL,Total brain cerebrospinal fluid volume (cc),Numeric longitudinal,IDeA Lab
25,GRAYVOL,Total brain gray matter volume (cc),Numeric longitudinal,IDeA Lab
26,WHITEVOL,Total brain white matter volume (cc),Numeric longitudinal,IDeA Lab
27,WMHVOL,Total brain white matter hyperintensity volume (cc),Numeric longitudinal,IDeA Lab
28,CEREALL,Total cerebrum cranial volume (cc),Numeric longitudinal,IDeA Lab
29,CERETISS,Total cerebrum brain volume (cc),Numeric longitudinal,IDeA Lab
30,CERECSF,Total cerebrum cerebrospinal fluid volume (cc),Numeric longitudinal,IDeA Lab
31,CEREGR,Total cerebrum gray matter volume (cc),Numeric longitudinal,IDeA Lab
32,CEREWH,Total cerebrum white matter volume (cc),Numeric longitudinal,IDeA Lab
33,LHIPPO,Segmented left hippocampus volume (cc),Numeric longitudinal,IDeA Lab
34,RHIPPO,Segmented right hippocampus volume (cc),Numeric longitudinal,IDeA Lab
35,HIPPOVOL,Segmented total hippocampi volume (cc),Numeric longitudinal,IDeA Lab
36,LLATVENT,Segmented left lateral ventricle volume (cc),Numeric longitudinal,IDeA Lab
37,RLATVENT,Segmented right lateral ventricle volume (cc),Numeric longitudinal,IDeA Lab
38,LATVENT,Segmented total lateral ventricle volume (cc),Numeric longitudinal,IDeA Lab
39,THIRVENT,Segmented total third ventricle volume (cc),Numeric longitudinal,IDeA Lab
40,LFRCORT,"Segmented left frontal lobe cortical gray matter
volume (cc)",Numeric longitudinal,IDeA Lab
41,RFRCORT,"Segmented right frontal lobe cortical gray matter
volume (cc)",Numeric longitudinal,IDeA Lab
Researchers Data Dictionary — Imaging Data Page 4,,,,
,,,,
,Variable name,Short descriptor,Data type,Data source
42,FRCORT,"Segmented total frontal lobe cortical gray matter
volume (cc)",Numeric longitudinal,IDeA Lab
43,LOCCORT,"Segmented left occipital lobe cortical gray matter
volume (cc)",Numeric longitudinal,IDeA Lab
