Category,VariableName,VariableType,ShortDescriptor,DataType,AllowableCodes,MissingRates
DEMO,NACCID,NACC derived variable,Subject ID number,Numeric longitudinal, Prefix NACC followed by 0  - 10 numbers,0.0
DEMO,NACCADC,NACC derived variable,ADC at which subject was seen,Numeric cross-sectional, 100 -9999,0.0
DEMO,VISITMO,Original UDS question,Form date - month,Numeric longitudinal, 1 - 12,
DEMO,VISITDAY,Original UDS question,Form date - day,Numeric longitudinal, 1 -  31,
DEMO,VISITYR,Original UDS question,Form date - year,Numeric longitudinal, 2005 to the present year,
DEMO,NACCVNUM,NACC derived variable,UDS visit number (order),Numeric longitudinal, 1 - 20,0.0
DEMO,SEX,Original UDS question,Subject's sex,Numeric cross-sectional," 1 = Male
2 = Female",0.0
DEMO,EDUC,Original UDS question,Years of education,Numeric cross-sectional," 0  - 36
99 = Unknown",0.007982261640798226
DEMO,NACCAGE,NACC derived variable,Subject's age at visit,Numeric longitudinal, 18  - 120,0.0
DEMO,NACCUDSD,NACC derived variable,Cognitive status at UDS visit,Numeric longitudinal," 1 = Normal cognition 
2 = Impaired-not-MCI 
3 = MCI 
4 = Dementia",0.0
DEMO,NACCALZP,NACC Derived variable,"Primary, contributing, or non-contributing cause of observed cognitive impairment - Alzheimer's disease (AD)",Numeric longitudinal," 1 = Primary
2 = Contributing
3 = Non-contributing
7 = Cognitively impaired but not AD diagnosis
8 = Diagnosis of normal cognition",0.0
DEMO,NACCAPOE,,,,,0.23252771618625276
CDF,MEMORY,Original UDS question,Memory,Numeric longitudinal," 0.0 = No impairment
0.5 = Questionable impairment
1.0 = Mild impairment
2.0 = Moderate impairment
3.0 = Severe impairment",0.0
CDF,ORIENT,Original UDS question,Orientation,Numeric longitudinal," 0.0 = No impairment
0.5 = Questionable impairment
1.0 = Mild impairment
2.0 = Moderate impairment
3.0 = Severe impairment",0.0
CDF,JUDGMENT,Original UDS question,Judgment and problem-solving,Numeric longitudinal," 0.0 = No impairment
0.5 = Questionable impairment
1.0 = Mild impairment
2.0 = Moderate impairment
3.0 = Severe impairment",0.0
CDF,COMMUN,Original UDS question,Community affairs,Numeric longitudinal," 0.0 = No impairment
0.5 = Questionable impairment
1.0 = Mild impairment
2.0 = Moderate impairment
3.0 = Severe impairment",0.0
CDF,HOMEHOBB,Original UDS question,Home and hobbies,Numeric longitudinal," 0.0 = No impairment
0.5 = Questionable impairment
1.0 = Mild impairment
2.0 = Moderate impairment
3.0 = Severe impairment",0.0
CDF,PERSCARE,Original UDS question,Personal care,Numeric longitudinal," 0.0 = No impairment
1.0 = Mild impairment
2.0 = Moderate impairment
3.0 = Severe impairment",0.0
CDF,CDRSUM,Original UDS question,Standard CDR sum of boxes,Numeric longitudinal," 0.0, 0.5, 1.0, 1.5, ..., 18.0 
(scores of 16.5 and 17.5 not possible)",0.0
CDF,CDRGLOB,Original UDS question,Global CDR,Numeric longitudinal," 0.0 = No impairment
0.5 = Questionable impairment
1.0 = Mild impairment
2.0 = Moderate impairment
3.0 = Severe impairment",0.0
CDF,COMPORT,Original UDS question,"Behavior, comportment, and personality",Numeric longitudinal," 0.0 = No impairment
0.5 = Questionable impairment
1.0 = Mild impairment
2.0 = Moderate impairment
3.0 = Severe impairment
  -4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",0.35019955654102
CDF,CDRLANG,Original UDS question,Language,Numeric longitudinal," 0.0 = No impairment
0.5 = Questionable impairment
1.0 = Mild impairment
2.0 = Moderate impairment
3.0 = Severe impairment
  -4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",0.35019955654102
GDS,SATIS,Original UDS question,Are you basically satisfied with your life?,Numeric longitudinal," 0 = Yes
1 = No
9 = Did not answer
-4 = Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",0.07503325942350332
